DATE,Price,LSTM,ARFIMA,PROPHET,SARIMAX,VARIMAX
02-01-2013,1689.9,,,,,
03-01-2013,1675.6,,,,,
04-01-2013,1649.9,,,,,
07-01-2013,1647.2,,,,,
08-01-2013,1663.2,,,,,
09-01-2013,1656.5,,,,,
10-01-2013,1679,,,,,
11-01-2013,1661.6,,,,,
14-01-2013,1670.4,,,,,
15-01-2013,1684.9,,,,,
16-01-2013,1684.2,,,,,
17-01-2013,1691.8,,,,,
18-01-2013,1688,,,,,
21-01-2013,1693.2,,,,,
22-01-2013,1694.2,,,,,
23-01-2013,1687.7,,,,,
24-01-2013,1670.9,,,,,
25-01-2013,1657.6,,,,,
28-01-2013,1654,,,,,
29-01-2013,1661.7,,,,,
30-01-2013,1681.6,,,,,
31-01-2013,1662,,,,,
01-02-2013,1670.6,,,,,
04-02-2013,1676.4,,,,,
05-02-2013,1673.5,,,,,
06-02-2013,1678.8,,,,,
07-02-2013,1671.3,,,,,
08-02-2013,1666.9,,,,,
11-02-2013,1649.1,,,,,
12-02-2013,1649.6,,,,,
13-02-2013,1645.1,,,,,
14-02-2013,1635.5,,,,,
15-02-2013,1609.5,,,,,
18-02-2013,1604.2,,,,,
19-02-2013,1604.2,,,,,
20-02-2013,1578,,,,,
21-02-2013,1578.6,,,,,
22-02-2013,1572.8,,,,,
25-02-2013,1586.6,,,,,
26-02-2013,1615.5,,,,,
27-02-2013,1597.4,,,,,
28-02-2013,1578.9,,,,,
01-03-2013,1573.1,,,,,
04-03-2013,1573.3,,,,,
05-03-2013,1575.8,,,,,
06-03-2013,1575.8,,,,,
07-03-2013,1576.1,,,,,
08-03-2013,1577.9,,,,,
11-03-2013,1579,,,,,
12-03-2013,1592.7,,,,,
13-03-2013,1589.4,,,,,
14-03-2013,1591.7,,,,,
15-03-2013,1593.6,,,,,
18-03-2013,1605.5,,,,,
19-03-2013,1612.2,,,,,
20-03-2013,1608.4,,,,,
21-03-2013,1614.7,,,,,
22-03-2013,1607,,,,,
25-03-2013,1605.4,,,,,
26-03-2013,1596.4,,,,,
27-03-2013,1607.2,,,,,
28-03-2013,1595.7,,,,,
01-04-2013,1600.9,,,,,
02-04-2013,1575.9,,,,,
03-04-2013,1553.5,,,,,
04-04-2013,1552.4,,,,,
05-04-2013,1575.9,,,,,
08-04-2013,1572.5,,,,,
09-04-2013,1586.7,,,,,
10-04-2013,1558.8,,,,,
11-04-2013,1564.9,,,,,
12-04-2013,1501.4,,,,,
15-04-2013,1361.1,,,,,
16-04-2013,1387.4,,,,,
17-04-2013,1382.7,,,,,
18-04-2013,1392.5,,,,,
19-04-2013,1395.6,,,,,
22-04-2013,1421.2,,,,,
23-04-2013,1408.8,,,,,
24-04-2013,1423.7,,,,,
25-04-2013,1462,,,,,
26-04-2013,1453.6,,,,,
29-04-2013,1468.1,,,,,
30-04-2013,1472.7,,,,,
01-05-2013,1446.8,,,,,
02-05-2013,1468.2,,,,,
03-05-2013,1464.8,,,,,
06-05-2013,1468.6,,,,,
07-05-2013,1449.4,,,,,
08-05-2013,1474.3,,,,,
09-05-2013,1469.1,,,,,
10-05-2013,1437,,,,,
13-05-2013,1434.9,,,,,
14-05-2013,1425.1,,,,,
15-05-2013,1396.8,,,,,
16-05-2013,1387.5,,,,,
17-05-2013,1365.3,,,,,
20-05-2013,1384.8,,,,,
21-05-2013,1378.2,,,,,
22-05-2013,1367.9,,,,,
23-05-2013,1392.3,,,,,
24-05-2013,1387,,,,,
27-05-2013,1378.9,,,,,
28-05-2013,1379.3,,,,,
29-05-2013,1391.6,,,,,
30-05-2013,1412,,,,,
31-05-2013,1393,,,,,
03-06-2013,1411.9,,,,,
04-06-2013,1397.2,,,,,
05-06-2013,1398.5,,,,,
06-06-2013,1415.8,,,,,
07-06-2013,1383,,,,,
10-06-2013,1386,,,,,
11-06-2013,1377,,,,,
12-06-2013,1392,,,,,
13-06-2013,1377.8,,,,,
14-06-2013,1387.6,,,,,
17-06-2013,1383.1,,,,,
18-06-2013,1366.9,,,,,
19-06-2013,1374,,,,,
20-06-2013,1286.2,,,,,
21-06-2013,1292,,,,,
24-06-2013,1277.1,,,,,
25-06-2013,1275.1,,,,,
26-06-2013,1229.8,,,,,
27-06-2013,1212.1,,,,,
28-06-2013,1224.2,,,,,
01-07-2013,1256.3,,,,,
02-07-2013,1244,,,,,
03-07-2013,1252.5,,,,,
04-07-2013,1212.7,,,,,
05-07-2013,1213.3,,,,,
08-07-2013,1235.5,,,,,
09-07-2013,1246.5,,,,,
10-07-2013,1248,,,,,
11-07-2013,1280.4,,,,,
12-07-2013,1278.1,,,,,
15-07-2013,1284,,,,,
16-07-2013,1290.8,,,,,
17-07-2013,1277.8,,,,,
18-07-2013,1284.5,,,,,
19-07-2013,1293.2,,,,,
22-07-2013,1336.4,,,,,
23-07-2013,1334.9,,,,,
24-07-2013,1319.7,,,,,
25-07-2013,1329,,,,,
26-07-2013,1321.4,,,,,
29-07-2013,1328.8,,,,,
30-07-2013,1324.4,,,,,
31-07-2013,1312.6,,,,,
01-08-2013,1310.8,,,,,
02-08-2013,1310.3,,,,,
05-08-2013,1302.2,,,,,
06-08-2013,1282.6,,,,,
07-08-2013,1285.5,,,,,
08-08-2013,1310.1,,,,,
09-08-2013,1312.3,,,,,
12-08-2013,1334.3,,,,,
13-08-2013,1320.6,,,,,
14-08-2013,1333.6,,,,,
15-08-2013,1361.1,,,,,
16-08-2013,1371,,,,,
19-08-2013,1365.7,,,,,
20-08-2013,1372.6,,,,,
21-08-2013,1370.1,,,,,
22-08-2013,1370.7,,,,,
23-08-2013,1395.6,,,,,
26-08-2013,1393,,,,,
27-08-2013,1420,,,,,
28-08-2013,1418.5,,,,,
29-08-2013,1412.7,,,,,
30-08-2013,1395.9,,,,,
02-09-2013,1412,,,,,
03-09-2013,1411.8,,,,,
04-09-2013,1389.8,,,,,
05-09-2013,1372.8,,,,,
06-09-2013,1386.3,,,,,
09-09-2013,1386.5,,,,,
10-09-2013,1363.8,,,,,
11-09-2013,1363.6,,,,,
12-09-2013,1330.4,,,,,
13-09-2013,1308.4,,,,,
16-09-2013,1317.8,,,,,
17-09-2013,1309.4,,,,,
18-09-2013,1307.6,,,,,
19-09-2013,1369.4,,,,,
20-09-2013,1332.5,,,,,
23-09-2013,1327,,,,,
24-09-2013,1316.1,,,,,
25-09-2013,1336,,,,,
26-09-2013,1323.8,,,,,
27-09-2013,1339.2,,,,,
30-09-2013,1327,,,,,
01-10-2013,1286.1,,,,,
