DATE,Price,LSTM,ARIMA,PROPHET,SARIMAX,VARIMAX
01-01-1980,773.82,,,,,
01-02-1980,868.62,,,,,
01-03-1980,740.75,,,,,
01-04-1980,707.68,,,,,
01-05-1980,701.07,,,,,
01-06-1980,676.82,,,,,
01-07-1980,712.09,,,,,
01-08-1980,767.21,,,,,
01-09-1980,795.87,,,,,
01-10-1980,804.69,,,,,
01-11-1980,800.28,,,,,
01-12-1980,782.64,,,,,
01-01-1981,776.03,,,,,
01-02-1981,731.93,,,,,
01-03-1981,756.18,,,,,
01-04-1981,824.53,,,,,
01-05-1981,850.98,,,,,
01-06-1981,839.96,,,,,
01-07-1981,864.21,,,,,
01-08-1981,954.6,,,,,
01-09-1981,936.96,,,,,
01-10-1981,890.67,,,,,
01-11-1981,875.23,,,,,
01-12-1981,848.78,,,,,
01-01-1982,820.12,,,,,
01-02-1982,824.53,,,,,
01-03-1982,791.46,,,,,
01-04-1982,740.75,,,,,
01-05-1982,749.57,,,,,
01-06-1982,692.25,,,,,
01-07-1982,723.12,,,,,
01-08-1982,714.3,,,,,
01-09-1982,749.57,,,,,
01-10-1982,751.78,,,,,
01-11-1982,709.89,,,,,
01-12-1982,670.2,,,,,
01-01-1983,698.86,,,,,
01-02-1983,681.23,,,,,
01-03-1983,679.02,,,,,
01-04-1983,696.66,,,,,
01-05-1983,736.34,,,,,
01-06-1983,718.71,,,,,
01-07-1983,740.75,,,,,
01-08-1983,809.1,,,,,
01-09-1983,837.76,,,,,
01-10-1983,857.6,,,,,
01-11-1983,859.8,,,,,
01-12-1983,857.6,,,,,
01-01-1984,956.81,,,,,
01-02-1984,998.69,,,,,
01-03-1984,1040.58,,,,,
01-04-1984,1003.1,,,,,
01-05-1984,1000.9,,,,,
01-06-1984,941.37,,,,,
01-07-1984,853.19,,,,,
01-08-1984,833.35,,,,,
01-09-1984,873.03,,,,,
01-10-1984,844.37,,,,,
01-11-1984,857.6,,,,,
01-12-1984,859.8,,,,,
01-01-1985,866.42,,,,,
01-02-1985,886.26,,,,,
01-03-1985,921.53,,,,,
01-04-1985,930.35,,,,,
01-05-1985,879.64,,,,,
01-06-1985,809.1,,,,,
01-07-1985,767.21,,,,,
01-08-1985,734.14,,,,,
01-09-1985,690.05,,,,,
01-10-1985,632.73,,,,,
01-11-1985,597.45,,,,,
01-12-1985,685.64,,,,,
01-01-1986,643.75,,,,,
01-02-1986,608.48,,,,,
01-03-1986,626.11,,,,,
01-04-1986,659.18,,,,,
01-05-1986,707.68,,,,,
01-06-1986,804.69,,,,,
01-07-1986,806.89,,,,,
01-08-1986,815.71,,,,,
01-09-1986,870.82,,,,,
01-10-1986,886.26,,,,,
01-11-1986,820.12,,,,,
01-12-1986,798.07,,,,,
01-01-1987,758.39,,,,,
01-02-1987,740.75,,,,,
01-03-1987,731.93,,,,,
01-04-1987,760.59,,,,,
01-05-1987,837.76,,,,,
01-06-1987,877.44,,,,,
01-07-1987,828.94,,,,,
01-08-1987,802.48,,,,,
01-09-1987,756.18,,,,,
01-10-1987,769.41,,,,,
01-11-1987,846.57,,,,,
01-12-1987,866.42,,,,,
01-01-1988,877.44,,,,,
01-02-1988,875.23,,,,,
01-03-1988,981.06,,,,,
01-04-1988,1069.24,,,,,
01-05-1988,1175.06,,,,,
01-06-1988,1364.66,,,,,
01-07-1988,1236.79,,,,,
01-08-1988,1307.34,,,,,
01-09-1988,1329.39,,,,,
01-10-1988,1518.98,,,,,
01-11-1988,1556.46,,,,,
01-12-1988,1591.74,,,,,
01-01-1989,1732.83,,,,,
01-02-1989,1929.5,,,,,
01-03-1989,1959.91,,,,,
01-04-1989,1654.4,,,,,
01-05-1989,1627,,,,,
